block,solver,A_name,q,sigma,instance_id,K,success,success_impute,success_single,success_single_impute,eps_success_impute,best_restart_id,best_error,best_error_full,best_score,single_restart_id,single_score,single_error,single_error_full,single_d_H,best_restart_id_symbolic,best_d_H,best_score_symbolic,bq_abs,spacing_y0,interior_sep_T1,minimax_lb_E_x,digital_regime
B,neural,A1,4,0.001,0,1,0,0,0,0,0.46543687432210207,29,1.3480013776399125,2.4066518463052526,0.00035961170215159655,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,1,0,0,0,0,0.46543687432210207,45,1.9548966550465248,2.1280981467630156,0.0007536893244832754,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,2,1,0,0,0,0,0.46543687432210207,12,1.9942895213433536,2.0194895016352152,0.001355881104245782,12,0.001355881104245782,1.9942895213433536,2.0194895016352152,1.0,12,1.0,0.001355881104245782,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,3,1,0,0,0,0,0.46543687432210207,45,1.3675905541745441,2.4187015782377093,0.00035735120764002204,45,0.00035735120764002204,1.3675905541745441,2.4187015782377093,0.75,45,0.75,0.00035735120764002204,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,4,1,0,0,0,0,0.46543687432210207,1,0.5878785878472379,1.2715413845640102,5.450846995991299e-10,1,5.450846995991299e-10,0.5878785878472379,1.2715413845640102,0.75,1,0.75,5.450846995991299e-10,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,5,1,0,0,0,0,0.46543687432210207,10,1.564910626572435,2.5005092977341143,1.6357826382318308e-07,10,1.6357826382318308e-07,1.564910626572435,2.5005092977341143,0.75,10,0.75,1.6357826382318308e-07,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,6,1,0,0,0,0,0.46543687432210207,9,0.5696281387282149,1.2481732980136062,0.0006585837691091001,9,0.0006585837691091001,0.5696281387282149,1.2481732980136062,1.0,9,1.0,0.0006585837691091001,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,7,1,0,0,0,0,0.46543687432210207,48,1.9936647168937311,2.0157039216502306,0.00025045499205589294,48,0.00025045499205589294,1.9936647168937311,2.0157039216502306,0.5,48,0.5,0.00025045499205589294,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,8,1,0,0,0,0,0.46543687432210207,43,1.3603820117668537,2.4144222985136254,4.2546347685856745e-05,43,4.2546347685856745e-05,1.3603820117668537,2.4144222985136254,0.75,43,0.75,4.2546347685856745e-05,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,9,1,0,0,0,0,0.46543687432210207,43,1.9495953601625893,2.1337266149051657,1.1699053184544006e-12,43,1.1699053184544006e-12,1.9495953601625893,2.1337266149051657,1.0,43,1.0,1.1699053184544006e-12,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
