block,solver,A_name,q,sigma,K,P_success,P_success_impute,P_success_single,P_success_single_impute,eps_success_impute
B,neural,A1,4,0.001,1,0.15,0.2,0.15,0.2,0.46543687432210207
B,neural,A1,4,0.001,2,0.15,0.2,0.15,0.2,0.46543687432210207
B,neural,A1,4,0.001,4,0.15,0.2,0.15,0.2,0.46543687432210207
B,neural,A1,4,0.001,8,0.15,0.2,0.15,0.2,0.46543687432210207
B,neural,A1,4,0.001,16,0.15,0.2,0.15,0.2,0.46543687432210207
B,neural,A1,4,0.001,32,0.15,0.2,0.15,0.2,0.46543687432210207
B,neural,A1,4,0.001,64,0.15,0.3,0.15,0.2,0.46543687432210207
B,neural,A1,5,0.001,1,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,5,0.001,2,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,5,0.001,4,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,5,0.001,8,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,5,0.001,16,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,5,0.001,32,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,5,0.001,64,0.0,0.2,0.0,0.2,0.46543687432210207
B,neural,A1,6,0.001,1,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,6,0.001,2,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,6,0.001,4,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,6,0.001,8,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,6,0.001,16,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,6,0.001,32,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,6,0.001,64,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,7,0.001,1,0.05,0.25,0.05,0.25,0.46543687432210207
B,neural,A1,7,0.001,2,0.05,0.25,0.05,0.25,0.46543687432210207
B,neural,A1,7,0.001,4,0.05,0.25,0.05,0.25,0.46543687432210207
B,neural,A1,7,0.001,8,0.05,0.3,0.05,0.25,0.46543687432210207
B,neural,A1,7,0.001,16,0.05,0.3,0.05,0.25,0.46543687432210207
B,neural,A1,7,0.001,32,0.05,0.3,0.05,0.25,0.46543687432210207
B,neural,A1,7,0.001,64,0.05,0.3,0.05,0.25,0.46543687432210207
B,neural,A1,8,0.001,1,0.0,0.15,0.0,0.15,0.46543687432210207
B,neural,A1,8,0.001,2,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,8,0.001,4,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,8,0.001,8,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,8,0.001,16,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,8,0.001,32,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,8,0.001,64,0.0,0.2,0.0,0.15,0.46543687432210207
B,neural,A1,9,0.001,1,0.0,0.1,0.0,0.1,0.46543687432210207
B,neural,A1,9,0.001,2,0.0,0.1,0.0,0.1,0.46543687432210207
B,neural,A1,9,0.001,4,0.0,0.1,0.0,0.1,0.46543687432210207
B,neural,A1,9,0.001,8,0.0,0.1,0.0,0.1,0.46543687432210207
B,neural,A1,9,0.001,16,0.0,0.15,0.0,0.1,0.46543687432210207
B,neural,A1,9,0.001,32,0.0,0.25,0.0,0.1,0.46543687432210207
B,neural,A1,9,0.001,64,0.0,0.25,0.0,0.1,0.46543687432210207
B,neural,A1,10,0.001,1,0.0,0.3,0.0,0.3,0.46543687432210207
B,neural,A1,10,0.001,2,0.0,0.3,0.0,0.3,0.46543687432210207
B,neural,A1,10,0.001,4,0.0,0.3,0.0,0.3,0.46543687432210207
B,neural,A1,10,0.001,8,0.0,0.3,0.0,0.3,0.46543687432210207
B,neural,A1,10,0.001,16,0.0,0.3,0.0,0.3,0.46543687432210207
B,neural,A1,10,0.001,32,0.0,0.3,0.0,0.3,0.46543687432210207
B,neural,A1,10,0.001,64,0.0,0.3,0.0,0.3,0.46543687432210207
