block,solver,A_name,q,sigma,instance_id,K,success,success_impute,success_single,success_single_impute,eps_success_impute,best_restart_id,best_error,best_error_full,best_score,single_restart_id,single_score,single_error,single_error_full,single_d_H,best_restart_id_symbolic,best_d_H,best_score_symbolic,bq_abs,spacing_y0,interior_sep_T1,minimax_lb_E_x,digital_regime
B,neural,A1,4,0.001,0,1,0,0,0,0,0.46543687432210207,29,1.3480013776399125,2.4066518463052526,0.00035961170215159655,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,0,2,0,0,0,0,0.46543687432210207,29,1.3480013776399125,2.4066518463052526,0.00035961170215159655,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,0,4,0,0,0,0,0.46543687432210207,29,1.3480013776399125,2.4066518463052526,0.00035961170215159655,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,0,8,0,0,0,0,0.46543687432210207,40,1.3381274360279787,2.399079407397622,0.0016710885101929307,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,0,16,0,0,0,0,0.46543687432210207,56,1.3368915295990569,2.400416633910661,0.002305585891008377,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,0,32,0,0,0,0,0.46543687432210207,39,1.3276350850846836,2.3948565975818967,0.004907976370304823,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,0,64,0,0,0,0,0.46543687432210207,57,1.308609095032798,2.3862795548769786,0.027145976200699806,29,0.00035961170215159655,1.3480013776399125,2.4066518463052526,1.0,29,1.0,0.00035961170215159655,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,1,0,0,0,0,0.46543687432210207,45,1.9548966550465248,2.1280981467630156,0.0007536893244832754,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,2,0,0,0,0,0.46543687432210207,61,1.9523767040469509,2.1335704197009218,0.000832822872325778,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,4,0,0,0,0,0.46543687432210207,61,1.9523767040469509,2.1335704197009218,0.000832822872325778,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,8,0,0,0,0,0.46543687432210207,53,1.9510264260789116,2.133814173617131,0.0013371787499636412,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,16,0,0,0,0,0.46543687432210207,1,1.9496554011714187,2.1365250623937744,0.0018049372592940927,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,32,0,0,0,0,0.46543687432210207,62,1.945557261846609,2.1339921979849947,0.002436422510072589,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,1,64,0,0,0,0,0.46543687432210207,62,1.945557261846609,2.1339921979849947,0.002436422510072589,45,0.0007536893244832754,1.9548966550465248,2.1280981467630156,0.5,45,0.5,0.0007536893244832754,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
B,neural,A1,4,0.001,2,1,0,0,0,0,0.46543687432210207,12,1.9942895213433536,2.0194895016352152,0.001355881104245782,12,0.001355881104245782,1.9942895213433536,2.0194895016352152,1.0,12,1.0,0.001355881104245782,21,0.047619047619047616,0.38095238095238093,1.126640116127244,1
